id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones,regates_intentados,porcentaje_tiros_a_puerta,porcentaje_pases_clave,goles_por_90,asistencias_por_90,regates_exitosos_por_90,pases_clave_por_90,tiros_totales_por_90,tiros_a_puerta_por_90,grandes_ocasiones_creadas_por_90,grandes_ocasiones_falladas_por_90,pases_ultimo_tercio_por_90,pases_totales_por_90,pases_acertados_por_90,duelos_aereos_perdidos_por_90,intercepciones_por_90,entradas_por_90,perdidas_de_balon_por_90,regates_intentados_por_90,valor_mercado_fmt
252857,Léo Baptistão,Almería,M,"['RW', 'ST']",33 años,181,Derecho,30/06/2026,660000.0,9,2,1794,6.78,15,44.12,19,67,27,2,11,152,67.57,555,375,50,12,31,7,1,22,223.9,33,34.0,40.298507462686565,3.423423423423423,0.45150501672240806,0.10033444816053512,0.7525083612040133,0.9531772575250836,3.361204013377926,1.354515050167224,0.10033444816053512,0.5518394648829431,7.625418060200669,27.842809364548497,18.812709030100333,2.508361204013378,0.6020066889632107,1.5551839464882944,1.1036789297658862,1.705685618729097,660.000 €
605650,Íñigo Cordoba,Burgos Club de Fútbol,M,"['LW', 'ML']",29 años,178,Zurdo,30/06/2026,1600000.0,2,1,2427,6.78,47,41.59,27,32,9,3,3,231,74.02,820,607,21,28,84,4,0,29,251.0,37,113.0,28.125,3.2926829268292686,0.07416563658838071,0.037082818294190356,1.7428924598269468,1.0012360939431397,1.1866501854140914,0.33374536464771326,0.11124845488257107,0.11124845488257107,8.566131025957972,30.407911001236094,22.509270704573545,0.7787391841779975,1.03831891223733,3.11495673671199,1.0754017305315204,4.19035846724351,1.600.000 €
1175743,Pablo Sáenz,Granada,F,['RW'],25 años,175,Zurdo,30/06/2026,755000.0,4,2,1226,6.78,23,44.23,27,38,12,6,0,99,77.64,331,257,15,5,25,4,0,13,203.5,30,52.0,31.57894736842105,8.157099697885197,0.2936378466557912,0.1468189233278956,1.6884176182707993,1.9820554649265905,2.789559543230016,0.8809135399673735,0.44045676998368677,0.0,7.267536704730833,24.298531810766722,18.86623164763458,1.101141924959217,0.367047308319739,1.8352365415986949,0.9543230016313214,3.8172920065252858,755.000 €
1142596,Salim El Jebari,Mirandés,F,"['LW', 'ST']",22 años,174,Derecho,30/06/2026,390000.0,1,4,1371,6.76,35,53.85,24,19,7,3,1,103,77.34,278,215,21,4,19,3,0,19,195.9,29,65.0,36.84210526315789,8.633093525179856,0.06564551422319474,0.26258205689277897,2.297592997811816,1.575492341356674,1.2472647702407003,0.4595185995623633,0.19693654266958424,0.06564551422319474,6.761487964989058,18.24945295404814,14.113785557986871,1.3785557986870898,0.26258205689277897,1.2472647702407003,1.2472647702407003,4.266958424507659,390.000 €
1892528,Min-su Kim,FC Andorra,F,['LW'],20 años,177,Derecho,30/06/2026,3200000.0,6,4,2340,6.75,45,40.18,33,61,26,4,6,269,82.98,717,595,18,9,20,6,0,48,249.9,37,112.0,42.62295081967213,4.602510460251046,0.23076923076923078,0.15384615384615385,1.7307692307692308,1.2692307692307692,2.3461538461538463,1.0,0.15384615384615385,0.23076923076923078,10.346153846153845,27.57692307692308,22.884615384615383,0.6923076923076923,0.34615384615384615,0.7692307692307693,1.8461538461538463,4.307692307692308,3.200.000 €
910023,Arnau Puigmal,Almería,M,['RW'],25 años,173,Derecho,30/06/2026,1400000.0,3,5,1382,6.75,21,51.22,43,24,9,9,4,221,84.83,501,425,11,11,20,2,0,14,249.9,37,41.0,37.5,8.582834331337326,0.19536903039073808,0.3256150506512301,1.3675832127351666,2.800289435600579,1.5629522431259046,0.5861070911722142,0.5861070911722142,0.26049204052098407,14.39218523878437,32.62662807525326,27.677279305354556,0.7163531114327062,0.7163531114327062,1.3024602026049203,0.9117221418234442,2.670043415340087,1.400.000 €
307082,Awer Mabil,CD Castellón,M,"['RW', 'LW']",30 años,179,Ambidiestro,30/06/2028,415000.0,3,6,1731,6.75,13,37.14,32,40,14,11,8,251,75.96,628,477,25,10,33,3,0,13,202.6,30,35.0,35.0,5.095541401273886,0.1559792027729636,0.3119584055459272,0.6759098786828424,1.6637781629116117,2.079722703639515,0.7279029462738301,0.5719237435008665,0.41594454072790293,13.050259965337956,32.65164644714038,24.800693240901214,1.2998266897746968,0.5199306759098787,1.7157712305025996,0.6759098786828424,1.8197573656845756,415.000 €
965257,Giorgi Guliashvili,Real Racing Club,F,"['ST', 'RW']",24 años,179,Derecho,30/06/2029,2400000.0,6,2,1108,6.75,5,33.33,8,31,19,2,7,40,80.37,107,86,22,0,8,2,0,11,108.0,16,15.0,61.29032258064516,7.476635514018691,0.48736462093862815,0.1624548736462094,0.40613718411552346,0.6498194945848376,2.5180505415162453,1.5433212996389893,0.1624548736462094,0.5685920577617328,3.2490974729241877,8.691335740072201,6.985559566787004,1.7870036101083033,0.0,0.6498194945848376,0.8935018050541517,1.2184115523465704,2.400.000 €
850025,Daniel Ojeda,Huesca,M,"['MR', 'ML', 'LW']",31 años,178,Ambidiestro,30/06/2027,620000.0,2,2,1234,6.75,11,52.38,14,27,6,6,4,157,83.58,548,458,8,6,10,4,0,12,175.5,26,21.0,22.22222222222222,2.5547445255474455,0.1458670988654781,0.1458670988654781,0.8022690437601296,1.0210696920583469,1.9692058346839547,0.4376012965964344,0.4376012965964344,0.2917341977309562,11.450567260940032,39.967585089141004,33.403565640194486,0.5834683954619124,0.4376012965964344,0.7293354943273905,0.8752025931928687,1.53160453808752,620.000 €
941405,Brian Ocampo,Cádiz,M,"['ML', 'LW', 'RW']",27 años,173,Derecho,30/06/2026,930000.0,5,1,1407,6.75,41,56.94,15,30,11,2,1,131,73.14,484,354,9,11,20,7,1,45,195.7,29,72.0,36.666666666666664,3.0991735537190084,0.31982942430703626,0.06396588486140725,2.6226012793176974,0.9594882729211087,1.9189765458422174,0.7036247334754797,0.1279317697228145,0.06396588486140725,8.379530916844349,30.959488272921106,22.643923240938168,0.5756929637526652,0.7036247334754797,1.279317697228145,2.878464818763326,4.605543710021322,930.000 €
